customerID,customerName,contactName,contactTitle,address,city,region,postalCode,country,phone
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257
GALED,GalerÃ­a del gastrÃ³nomo,Eduardo Saavedra,Marketing Manager,Rambla de CataluÃ±a, 23,Barcelona,NULL,08022,Spain
BONAP,Bon app',Laurence Lebihan,Owner,12, rue des Bouchers,Marseille,NULL,13008,France
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,Gran VÃ­a, 1,Madrid,NULL,28001,Spain
BOLID,BÃ³lido Comidas preparadas,MartÃ­n Sommer,Owner,C/ Araquil, 67,Madrid,NULL,28023,Spain
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,C/ Moralzarzal, 86,Madrid,NULL,28034,Spain
GODOS,Godos Cocina TÃ­pica,JosÃ© Pedro Freyre,Sales Manager,C/ Romero, 33,Sevilla,NULL,41101,Spain
DUMON,Du monde entier,Janine Labrune,Owner,67, rue des Cinquante Otages,Nantes,NULL,44000,France
FRANR,France restauration,Carine Schmitt,Marketing Manager,54, rue Royale,Nantes,NULL,44000,France
FOLIG,Folies gourmandes,Martine RancÃ©,Assistant Sales Agent,184, chaussÃ©e de Tournai,Lille,NULL,59000,France
BLONP,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,24, place KlÃ©ber,Strasbourg,NULL,67000,France
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,2, rue du Commerce,Lyon,NULL,69004,France
PARIS,Paris spÃ©cialitÃ©s,Marie Bertrand,Owner,265, boulevard Charonne,Paris,NULL,75012,France
SPECD,SpÃ©cialitÃ©s du monde,Dominique Perrier,Marketing Manager,25, rue Lauriston,Paris,NULL,75016,France
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,67, avenue de l'Europe,Versailles,NULL,78000,France
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy,035-640230
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,NULL,10100,Italy,011-4988260
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy,0522-556721
SUPRD,SuprÃªmes dÃ©lices,Pascale Cartrain,Accounting Manager,Boulevard Tirou, 255,Charleroi,NULL,B-6000,Belgium
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392
MEREP,MÃ¨re Paillarde,Jean FresniÃ¨re,Marketing Assistant,43 rue St. Laurent,MontrÃ©al,QuÃ©bec,H1J 1C3,Canada,(514) 555-8054
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France,61.77.61.10
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,NULL,51100,France,26.47.15.10
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,MÃ©xico D.F.,NULL,05022,Mexico,(5) 555-3392
PERIC,Pericles Comidas clÃ¡sicas,Guillermo FernÃ¡ndez,Sales Representative,Calle Dr. Jorge Cash 321,MÃ©xico D.F.,NULL,05033,Mexico,(5) 552-3745
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la ConstituciÃ³n 2222,MÃ©xico D.F.,NULL,05021,Mexico,(5) 555-4729
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,MÃ©xico D.F.,NULL,05033,Mexico,(5) 555-2933
ANTON,Antonio Moreno TaquerÃ­a,Antonio Moreno,Owner,Mataderos  2312,MÃ©xico D.F.,NULL,05023,Mexico,(5) 555-3932
SANTG,SantÃ© Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,NULL,4110,Norway,07-98 92 35
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland,(26) 642-7012
BERGS,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,BerguvsvÃ¤gen  8,LuleÃ¥,NULL,S-958 22,Sweden,0921-12 34 65
FOLKO,Folk och fÃ¤ HB,Maria Larsson,Owner,Ã…kergatan 24,BrÃ¤cke,NULL,S-844 67,Sweden,0695-34 67 21
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,NULL,5020,Austria,6562-9722
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,NULL,8010,Austria,7675-3425
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,NULL,B-1180,Belgium,(02) 201 24 67
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Ã…rhus,NULL,8200,Denmark,86 21 32 43
SIMOB,Simons bistro,Jytte Petersen,Owner,VinbÃ¦ltet 34,Kobenhavn,NULL,1734,Denmark,31 12 34 56
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,NULL,90110,Finland,981-443655
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,NULL,21240,Finland,90-224 8858
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,NULL,52066,Germany,0241-039123
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany,069-0245984
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,MÃ¼nchen,NULL,80805,Germany,089-0877310
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,NULL,68306,Germany,0621-08460
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,NULL,12209,Germany,030-0074321
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,NULL,04179,Germany,0342-023176
TOMSP,Toms SpezialitÃ¤ten,Karin Josephs,Marketing Manager,Luisenstr. 48,MÃ¼nster,NULL,44087,Germany,0251-031259
KOENE,KÃ¶niglich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,NULL,14776,Germany,0555-09876
WANDK,Die Wandernde Kuh,Rita MÃ¼ller,Sales Representative,Adenauerallee 900,Stuttgart,NULL,70563,Germany,0711-020361
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,TaucherstraÃŸe 10,Cunewalde,NULL,01307,Germany,0372-035188
OTTIK,Ottilies KÃ¤seladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,KÃ¶ln,NULL,50739,Germany,0221-0644327
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland,2967 542
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saÃºde n. 58,Lisboa,NULL,1756,Portugal,(1) 356-5634
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal,(1) 354-2534
QUEDE,Que DelÃ­cia,Bernardo Batista,Accounting Manager,Rua da Panificadora, 12,Rio de Janeiro,RJ,02389-673,Brazil
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Av. Copacabana, 267,Rio de Janeiro,RJ,02389-890,Brazil
GOURL,Gourmet Lanchonetes,AndrÃ© Fonseca,Sales Associate,Av. Brasil, 442,Campinas,SP,04876-786,Brazil
COMMI,ComÃ©rcio Mineiro,Pedro Afonso,Sales Associate,Av. dos LusÃ­adas, 23,Sao Paulo,SP,05432-043,Brazil
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Rua OrÃ³s, 92,Sao Paulo,SP,05442-030,Brazil
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rua do PaÃ§o, 67,Rio de Janeiro,RJ,05454-876,Brazil
QUEEN,Queen Cozinha,LÃºcia Carvalho,Marketing Assistant,Alameda dos CanÃ rios, 891,Sao Paulo,SP,05487-020,Brazil
TRADH,TradiÃ§Ã£o Hipermercados,Anabela Domingues,Sales Representative,Av. InÃªs de Castro, 414,Sao Paulo,SP,05634-030,Brazil
WELLI,Wellington Importadora,Paula Parente,Sales Manager,Rua do Mercado, 12,Resende,SP,08737-363,Brazil
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,NULL,1010,Argentina,(1) 135-5555
OCEAN,OcÃ©ano AtlÃ¡ntico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,NULL,1010,Argentina,(1) 135-5333
RANCH,Rancho grande,Sergio GutiÃ©rrez,Sales Representative,Av. del Libertador 900,Buenos Aires,NULL,1010,Argentina,(1) 123-5555
LILAS,LILA-Supermercado,Carlos GonzÃ¡lez,Accounting Manager,Carrera 52 con Ave. BolÃ­var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5Âª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12
HILAA,HILARION-Abastos,Carlos HernÃ¡ndez,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San CristÃ³bal,TÃ¡chira,5022,Venezuela,(5) 555-1340
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,NULL,3012,Switzerland,0452-076545
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,GenÃ¨ve,NULL,1203,Switzerland,0897-034214
